,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,doc,1558.32,1108.99,564.05,344.17,10,0,5
1,doc,992.46,1183.98,412.07,296.0,11,0,4
2,doc,1495.33,1112.15,644.86,383.18,4,0,4
3,doc,1420.52,1138.67,541.15,721.53,6,0,2
4,doc,1387.0,1066.93,708.05,407.37,7,0,5
5,doc,1529.18,1307.85,653.92,432.6,5,0,2
6,doc,1449.28,1295.29,615.94,389.49,8,0,2
7,doc,1663.6,1130.51,652.57,386.03,3,0,3
8,doc,1788.99,1146.79,607.8,332.57,3,0,1
9,doc,1425.58,1215.93,670.86,387.84,4,0,5
10,doc,1430.03,1174.67,541.37,388.15,1,0,3
11,doc,1872.95,843.37,711.94,514.79,3,0,3
12,doc,1549.89,1348.2,467.09,360.93,2,0,4
13,doc,1263.79,1364.09,541.62,330.99,6,0,4
14,doc,1390.06,1078.35,598.15,454.93,9,0,3
15,doc,1647.89,1035.21,605.63,401.41,7,0,5
16,doc,1236.87,1131.86,525.09,641.77,6,0,5
17,doc,1833.84,1094.22,516.72,385.01,3,0,2
18,doc,1628.55,988.11,475.75,494.05,7,0,3
19,doc,1310.86,992.51,767.79,346.44,4,0,0
20,doc,1677.42,1000.0,709.68,569.89,8,0,2
21,doc,1356.44,1122.83,625.47,316.5,9,1,3
22,doc,1772.43,984.68,536.11,393.87,5,0,5
23,doc,1401.35,829.6,762.33,302.69,6,0,2
24,doc,1411.76,1037.43,545.45,438.5,7,0,4
25,doc,1383.42,1168.75,691.71,327.97,6,0,5
26,doc,1254.44,1266.27,508.88,449.7,3,0,4
27,doc,1389.76,1065.83,710.55,564.26,7,0,1
28,doc,1399.63,1086.56,672.19,561.69,6,0,1
29,doc,1560.35,1059.86,628.07,461.24,7,0,4
30,doc,1634.24,1079.77,729.57,282.1,4,0,4
31,doc,1854.19,1008.1,405.04,396.04,7,0,2
32,doc,1498.74,1020.15,629.72,472.29,14,0,6
33,doc,1470.27,1264.86,713.51,345.95,3,0,1
34,doc,1420.18,1008.81,607.25,342.8,8,0,3
35,doc,1563.15,1066.25,703.93,403.73,7,0,2
36,doc,1588.52,985.65,583.73,526.32,10,0,3
37,doc,1093.08,1400.51,734.42,512.38,6,0,4
38,doc,1733.0,1061.36,704.81,447.76,4,0,3
39,doc,1756.62,1040.24,902.85,215.9,10,0,2
40,doc,1630.77,1128.21,697.44,338.46,8,0,1
41,doc,1523.61,1233.91,536.48,343.35,2,0,5
42,doc,1370.61,1326.75,526.32,328.95,4,0,6
43,doc,1675.87,1003.68,607.73,460.41,6,0,2
44,doc,1338.83,1040.16,473.74,339.86,4,1,5
45,doc,1781.97,1184.49,440.25,356.39,2,0,2
46,doc,1467.76,1035.67,452.67,253.77,6,0,5
47,doc,1675.03,1173.52,571.72,391.17,7,0,3
48,doc,1597.29,1122.94,377.54,319.46,5,0,4
49,doc,1243.24,1196.91,579.15,416.99,5,0,2
50,doc,1402.06,1206.19,474.23,402.06,6,0,4
51,doc,1129.34,1129.34,424.71,357.14,4,0,5
52,doc,1639.16,946.09,726.07,407.04,8,0,3
53,doc,1474.56,1298.03,550.36,643.82,4,0,1
54,doc,1390.37,1454.55,363.64,192.51,2,0,2
55,doc,1478.06,1073.9,531.18,369.52,7,0,1
56,doc,1404.49,1059.39,529.7,465.49,11,0,3
57,doc,1158.83,1037.28,632.09,421.39,7,0,6
58,doc,1022.57,1389.28,507.76,571.23,7,0,4
59,doc,1728.4,1059.67,504.12,483.54,3,1,3
60,doc,1254.09,1297.71,545.26,599.78,8,0,6
61,doc,1725.24,942.49,583.07,311.5,11,0,4
62,doc,1445.68,1300.26,470.49,290.85,8,0,4
63,doc,1243.68,1162.79,616.78,212.34,5,1,1
64,doc,1228.99,1186.97,766.81,619.75,7,0,1
65,doc,1675.28,1209.93,599.79,423.99,3,0,3
66,doc,1366.34,1366.34,455.45,386.14,5,0,4
67,doc,1319.23,1120.1,665.84,367.14,8,0,5
68,doc,1738.46,1115.38,407.69,323.08,8,0,3
69,doc,1631.13,980.81,746.27,522.39,9,0,2
70,doc,1461.62,1156.68,651.95,294.43,5,0,4
71,doc,1482.65,1198.74,736.07,462.67,3,0,1
72,doc,1487.76,1299.44,470.81,310.73,5,0,1
73,doc,1885.63,1051.0,618.24,293.66,4,0,1
74,doc,1558.55,977.25,480.2,387.53,7,0,4
75,doc,1926.0,825.43,806.45,455.41,8,0,1
76,doc,1617.65,990.2,705.88,549.02,6,2,3
77,doc,1694.17,1045.1,561.06,374.04,7,0,2
78,doc,1689.03,812.94,741.91,465.67,11,0,3
79,doc,1739.13,948.62,770.75,355.73,8,0,1
80,doc,1404.88,1073.17,663.41,302.44,10,0,0
81,doc,1382.11,1270.33,569.11,386.18,7,0,1
82,doc,1524.02,1043.54,750.75,540.54,3,0,1
83,doc,1500.0,1201.61,637.1,427.42,8,0,2
84,doc,1626.02,1002.71,813.01,447.15,8,0,0
