,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,doc,1681.42,1226.3,872.31,429.84,2,0,1
1,doc,1717.31,1241.74,911.49,515.19,1,0,0
2,doc,1476.43,1339.95,657.57,545.91,2,0,1
3,doc,1202.19,1352.46,737.7,614.75,2,0,2
4,doc,1462.86,1268.57,777.14,651.43,2,0,1
5,doc,1706.81,1109.95,921.47,554.97,3,0,1
6,doc,1576.7,1306.82,738.64,426.14,2,0,1
7,doc,1539.57,1179.86,676.26,489.21,3,0,1
8,doc,1719.83,1289.88,554.79,346.74,3,0,1
9,doc,1689.27,1245.38,628.85,628.85,3,0,2
10,doc,1383.15,1335.45,842.61,397.46,2,0,0
11,doc,1760.7,982.49,846.3,437.74,2,0,0
