,Release Date,Season,Episode,Episode Title,Name,Sentence,emotion_label,emotion_score
0,2011-04-17,Season 1,Episode 1,Winter is Coming,waymar royce,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",disgust,0.8400837182998657
1,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",disgust,0.6117003560066223
2,2011-04-17,Season 1,Episode 1,Winter is Coming,waymar royce,How close did you get?,surprise,0.7143812775611877
3,2011-04-17,Season 1,Episode 1,Winter is Coming,will,Close as any man would.,neutral,0.9114251732826233
4,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,We should head back to the wall.,fear,0.4208104610443115
5,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,Do the dead frighten you?,fear,0.9559083580970764
6,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,neutral,0.6202908754348755
7,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,You don't think he'll ask us how they died? Get back on your horse.,surprise,0.7657095789909363
8,2011-04-17,Season 1,Episode 1,Winter is Coming,will,Whatever did it to them could do it to us. They even killed the children.,anger,0.5590818524360657
9,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",anger,0.6356117129325867
10,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,Your dead men seem to have moved camp.,neutral,0.5159032344818115
11,2011-04-17,Season 1,Episode 1,Winter is Coming,will,They were here.,neutral,0.8349234461784363
12,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,See where they went.,neutral,0.9458221197128296
13,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,What is it?,surprise,0.5850769281387329
14,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,It's …,neutral,0.8170827031135559
15,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Go on. Father's watching.,neutral,0.38425952196121216
16,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,And your mother.,anger,0.4297434687614441
17,2011-04-17,Season 1,Episode 1,Winter is Coming,septa mordane,"Fine work, as always. Well done.",neutral,0.6922546029090881
18,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Thank you.,neutral,0.6663600206375122
19,2011-04-17,Season 1,Episode 1,Winter is Coming,septa mordane,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,joy,0.7820842266082764
20,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",neutral,0.6362766027450562
21,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,"Don't think too much, Bran.",neutral,0.6491796374320984
22,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Relax your bow arm.,neutral,0.5642501711845398
23,2011-04-17,Season 1,Episode 1,Winter is Coming,jonrobb,"Quick, Bran, faster!",surprise,0.4863581955432892
24,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,disgust,0.7373818755149841
25,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Get the lads to saddle their horses.,neutral,0.8917436003684998
26,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Do you have to?,surprise,0.5205239653587341
27,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He swore an oath, Cat.",disgust,0.369029700756073
28,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,"The law is law, my lady.",neutral,0.6730466485023499
29,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Tell Bran he's coming, too.",neutral,0.8187596201896667
30,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Ned. Ten is too young to see such things.,neutral,0.6891790628433228
31,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,He won't be a boy forever. And winter is coming.,neutral,0.8098019361495972
32,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Lad, go run back and get the rest.",neutral,0.595931351184845
33,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",neutral,0.6369803547859192
34,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.",sadness,0.3498455882072449
35,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"nods yes, and WILL is positioned on the tree limb that serves as a block.",neutral,0.9185885190963745
36,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"Forgive me, lord.",anger,0.7700166702270508
37,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"In the name of Robert of the House Baratheon, first of his name …",neutral,0.8067060708999634
38,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Don't look away.,fear,0.6874536871910095
39,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,King of the Andals and the First Men …,neutral,0.6458390355110168
40,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Father will know if you do.,neutral,0.9144962430000305
41,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",sadness,0.3977236747741699
